classification	source	disposition	archive_or_reconstruction
canonical-evidence	problems/excelize-structural-reference-adjustment	moved	archive/excelize-structural-reference-adjustment/problem-records
canonical-evidence	candidates/excelize-structural-reference-adjustment	moved	archive/excelize-structural-reference-adjustment/candidate-records
duplicate-tracked-work	Work/excelize-escalation/source/adjust.go	moved-to-trash-after-verification	problem-records/solution.patch
unique-untracked-work	Work/excelize-escalation/source/excelize_escalation_prototype_test.go	copied	authoring-recovery/source-untracked/excelize_escalation_prototype_test.go
unique-untracked-work	Work/excelize-escalation/source/structural_reference_adjustment_test.go	copied	authoring-recovery/source-untracked/structural_reference_adjustment_test.go
unique-untracked-work	Work/excelize-escalation/source/test.sh	copied	authoring-recovery/source-untracked/test.sh
reproducible-mutant	Work/excelize-escalation/mutants/breaks_no_delete	patch-preserved-then-moved-to-trash	mutation-patches/breaks_no_delete.patch
reproducible-mutant	Work/excelize-escalation/mutants/breaks_stale_counts	patch-preserved-then-moved-to-trash	mutation-patches/breaks_stale_counts.patch
reproducible-mutant	Work/excelize-escalation/mutants/comments_all_vml	patch-preserved-then-moved-to-trash	mutation-patches/comments_all_vml.patch
reproducible-mutant	Work/excelize-escalation/mutants/comments_anchor_identity	patch-preserved-then-moved-to-trash	mutation-patches/comments_anchor_identity.patch
reproducible-mutant	Work/excelize-escalation/mutants/comments_index_join	patch-preserved-then-moved-to-trash	mutation-patches/comments_index_join.patch
reproducible-mutant	Work/excelize-escalation/mutants/comments_no_anchor	patch-preserved-then-moved-to-trash	mutation-patches/comments_no_anchor.patch
reproducible-mutant	Work/excelize-escalation/mutants/comments_rows_only	patch-preserved-then-moved-to-trash	mutation-patches/comments_rows_only.patch
reproducible-mutant	Work/excelize-escalation/mutants/comments_xml_only	patch-preserved-then-moved-to-trash	mutation-patches/comments_xml_only.patch
legitimate-replay	Work/excelize-escalation/mutants/legitimate_preserve_single	patch-preserved-then-moved-to-trash	mutation-patches/legitimate_preserve_single.patch
reproducible-mutant	Work/excelize-escalation/mutants/protected_drop_attrs	patch-preserved-then-moved-to-trash	mutation-patches/protected_drop_attrs.patch
reproducible-mutant	Work/excelize-escalation/mutants/protected_existing_ref	patch-preserved-then-moved-to-trash	mutation-patches/protected_existing_ref.patch
reproducible-mutant	Work/excelize-escalation/mutants/protected_first_area	patch-preserved-then-moved-to-trash	mutation-patches/protected_first_area.patch
unique-verification	Work/excelize-escalation/phase-a	copied	verification-results/phase-a
unique-verification	Work/excelize-escalation/mutation-results	copied	verification-results/mutation-results
unique-verification	Work/excelize-escalation/wrapper-results	copied	verification-results/wrapper-results
reproducible-checkout	Work/excelize-escalation/source	moved-to-trash-after-verification	https://github.com/qax-os/excelize.git@40f8be41a7aecf250fae03b7d79478a22a4e75a9
temporary-state	/private/tmp/excelize-cleanup-verify.hVJB5R	moved-to-trash	/Users/andrewemad/.Trash/Olympus-excelize-cleanup-temp-20260816
temporary-state	/private/tmp/excelize-final-base-replays.bIp2De	moved-to-trash	/Users/andrewemad/.Trash/Olympus-excelize-cleanup-temp-20260816
temporary-state	/private/tmp/excelize-final-check.vF4TkH	moved-to-trash	/Users/andrewemad/.Trash/Olympus-excelize-cleanup-temp-20260816
temporary-state	/private/tmp/excelize-final-check.xFEob6	moved-to-trash	/Users/andrewemad/.Trash/Olympus-excelize-cleanup-temp-20260816
temporary-state	/private/tmp/excelize-final-mutation-audit.GKuilW	moved-to-trash	/Users/andrewemad/.Trash/Olympus-excelize-cleanup-temp-20260816
temporary-state	/private/tmp/excelize-final-mutation-audit.hi3lX0	moved-to-trash	/Users/andrewemad/.Trash/Olympus-excelize-cleanup-temp-20260816
temporary-state	/private/tmp/excelize-final-mutation-audit.rvrZZA	moved-to-trash	/Users/andrewemad/.Trash/Olympus-excelize-cleanup-temp-20260816
temporary-state	/private/tmp/excelize-final-pristine.DOkcrV	moved-to-trash	/Users/andrewemad/.Trash/Olympus-excelize-cleanup-temp-20260816
temporary-state	/private/tmp/excelize-final-reference.vJy59Q	moved-to-trash	/Users/andrewemad/.Trash/Olympus-excelize-cleanup-temp-20260816
task-container	Docker containers matching excelize	none-found	n/a
