mutation	focused	failed-tests	complete-preexisting
caller_order	FAILED	is byte-identical for either caller order,is stable after loading and exporting the same selected set,translates custom DataType identifiers in structure definitions	not-run
duplicate_selected_edges	FAILED	represents a selected-to-selected custom relationship exactly once	not-run
drop_selected_edges	FAILED	represents a selected-to-selected custom relationship exactly once,reloads both models and their cross-model relationship,is stable after loading and exporting the same selected set,uses one translation for cross-model references and typed values	not-run
reject_single_selection	FAILED	translates nested structured encoded values,exports a one-namespace selection without dependency-owned nodes	not-run
export_dependency_nodes	FAILED	keeps unselected dependencies declared without exporting their nodes,uses one translation for cross-model references and typed values,translates nested structured encoded values	not-run
first_model_only	FAILED	emits both model declarations and only the selected nodes,reloads both models and their cross-model relationship,round-trips a subtype relationship across selected namespaces,is stable after loading and exporting the same selected set,keeps unselected dependencies declared without exporting their nodes,uses one translation for cross-model references and typed values,translates custom DataType identifiers in structure definitions	not-run
first_namespace_nodes_only	FAILED	represents a selected-to-selected custom relationship exactly once,reloads both models and their cross-model relationship,is stable after loading and exporting the same selected set,uses one translation for cross-model references and typed values	not-run
omit_isolated_selected_objects	FAILED	reloads both models and their cross-model relationship	not-run
omit_external_declarations	FAILED	keeps unselected dependencies declared without exporting their nodes,uses one translation for cross-model references and typed values,translates nested structured encoded values	not-run
constant_model_version	FAILED	reloads both models and their cross-model relationship,is stable after loading and exporting the same selected set,keeps unselected dependencies declared without exporting their nodes	not-run
omit_required_model_metadata	FAILED	keeps unselected dependencies declared without exporting their nodes	not-run
union_dependencies_per_model	FAILED	keeps unselected dependencies declared without exporting their nodes	not-run
untranslated_qualified_name_value	FAILED	uses one translation for cross-model references and typed values	not-run
untranslated_node_id_value	FAILED	uses one translation for cross-model references and typed values	not-run
untranslated_custom_datatype_definition	FAILED	translates custom DataType identifiers in structure definitions	not-run
skip_nested_extension_object_recursion	FAILED	translates nested structured encoded values	not-run
generic_selected_subtype_ownership	FAILED	round-trips a subtype relationship across selected namespaces	not-run
omit_public_declaration	FAILED	is exposed through the package root TypeScript declarations	not-run
change_legacy_ordering	SURVIVED	-	FAILED:LNEX5 - export back a nodeset2.xml file with dataType &#x26; enum as values,LNEX8 - namespace when adding object to already existing objects:<testsuite name="Mocha Tests" tests="1040" failures="0" errors="2" skipped="2" timestamp="Tue, 11 Aug 2026 07:45:15 GMT" time="64.054">
