check	identifier	final_state
active-problem	problems/pdfminer-logical-structure-tree	absent
active-candidate	candidates/pdfminer-logical-structure-tree	absent
active-work	Work/pdfminer-logical-structure-tree	absent
archive	archive/pdfminer-logical-structure-tree	present and readable
trash-recovery	/Users/andrewemad/.Trash/Olympus-pdfminer-logical-structure-tree-20260820	present
docker-container	pdfminer task match	absent
docker-image	olympus-pdfminer-phase-a:a18de2a9-v4	absent
docker-image	olympus-pdfminer-phase-a:a18de2a9-v3	absent
shared-base	public.ecr.aws/d3j8x8q7/olympus-base-python:latest	present and untouched
workspace-temp	.tmp-results/*pdfminer*	absent
system-temp	/tmp/*pdfminer*; /tmp/*logical-structure-tree*	absent
