kind	identifier	classification	pre_cleanup_state	disposition
problem-records	problems/pdfminer-logical-structure-tree	canonical evidence	15 files; 124 KiB; archive byte parity passed	archived, active copy moved to task-specific Trash recovery
candidate-records	candidates/pdfminer-logical-structure-tree	unique candidate evidence	1 file; 12 KiB; archive byte parity passed	archived, active copy moved to task-specific Trash recovery
checkout	Work/pdfminer-logical-structure-tree/source	reproducible clean checkout	clean at a18de2a9c479b4c847538500017b449ddaec177e	moved with task work root to Trash recovery
worktree	Work/pdfminer-logical-structure-tree/prototype-a	unique dirty authoring evidence	8 changed files	recovery patch verified byte-for-byte; moved to Trash recovery
worktree	Work/pdfminer-logical-structure-tree/mutant-parenttree	unique mutation evidence	8 changed files	recovery patch verified byte-for-byte; moved to Trash recovery
worktree	Work/pdfminer-logical-structure-tree/mutant-mcr-page	unique mutation evidence	8 changed files	recovery patch verified byte-for-byte; moved to Trash recovery
worktree	Work/pdfminer-logical-structure-tree/mutant-image	unique mutation evidence	8 changed files	recovery patch verified byte-for-byte; moved to Trash recovery
worktree	Work/pdfminer-logical-structure-tree/mutant-geometry	unique mutation evidence	8 changed files	recovery patch verified byte-for-byte; moved to Trash recovery
worktree	Work/pdfminer-logical-structure-tree/mutant-geometry-v2	unique mutation evidence	8 changed files	recovery patch verified byte-for-byte; moved to Trash recovery
worktree	Work/pdfminer-logical-structure-tree/mutant-attribute-shapes	unique mutation evidence	8 changed files	recovery patch verified byte-for-byte; moved to Trash recovery
worktree	Work/pdfminer-logical-structure-tree/mutant-attribute-shapes-v2	unique mutation evidence	8 changed files	recovery patch verified byte-for-byte; moved to Trash recovery
verification	Work/pdfminer-logical-structure-tree/recovery-verification	reproducible verification clones	8 reconstructed clones; byte parity passed	moved with task work root to Trash recovery
environment-files	Work/pdfminer-logical-structure-tree/Dockerfile.phase-a; Work/pdfminer-logical-structure-tree/phase-a-test.sh	unique environment history	2 files	archived; active copies moved to Trash recovery
work-root	Work/pdfminer-logical-structure-tree	reproducible after recovery	875388 KiB total	moved to /Users/andrewemad/.Trash/Olympus-pdfminer-logical-structure-tree-20260820/Work-pdfminer-logical-structure-tree
workspace-temp	.tmp-results/*pdfminer*	reproducible temporary state	no match	nothing to remove
system-temp	/tmp/*pdfminer*; /tmp/*logical-structure-tree*	reproducible temporary state	no match	nothing to remove
docker-container	pdfminer task match	reproducible runtime state	no match	nothing to remove
docker-image	olympus-pdfminer-phase-a:a18de2a9-v4	reproducible build image	container-free	removed exact tag and unshared image sha256:7f10c5f10d2057069abc1763c501b71f2f3d625653d1fe4445640248ef2aa3d1
docker-image	olympus-pdfminer-phase-a:a18de2a9-v3	reproducible build image	container-free	removed exact tag and unshared image sha256:fbd28ef7efaaebc639e1cab6d03036c1317ae87680adb6e5ab66d600e8e8c215
docker-image	public.ecr.aws/d3j8x8q7/olympus-base-python:latest	shared unrelated state	shared base image	skip
